Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,44,PT,44,20.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,12,PT,12,17.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,12,PT,12,20.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,33,PT,33,10.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,33,PT,33,18.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,57,PT,57,17.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,57,PT,57,18.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,55,PT,55,21.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,55,PT,55,17.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,26,PT,26,11.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,26,PT,26,14.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,28,PT,28,12.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,28,PT,28,14.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,51,PT,51,8.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,51,PT,51,14.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,21,PT,21,11.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,21,PT,21,13.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,22,PT,22,12.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,22,PT,22,13.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,56,PT,56,8.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,56,PT,56,12.0
2009,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,13,PT,13,9.0
2019,A,0,_X,Forest area as a proportion of total land area,A,N,AG_LND_FRST,13,PT,13,9.0
