Year,Observation-level footnotes,Series,Education level,Value
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Primary,SE_INF_DSBL,Primary education,23.2
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Primary,SE_INF_DSBL,Primary education,37.7
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Primary,SE_INF_DSBL,Primary education,69.6
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Primary,SE_INF_DSBL,Primary education,67.2
2017,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),17.9
2018,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),27.8
2019,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),30.5
2020,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),43.6
2021,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),72.9
2024,Proportion of schools with access to adapted infrastructure and materials for students with disabilities - Secondary,SE_INF_DSBL,Secondary education (lower and upper secondary education),72.4
2017,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,19.2
2018,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,27.5
2019,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,27.1
2020,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,31.4
2021,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,56.8
2024,Proportion of schools with access to basic drinking water - Nursery,SE_ACS_H2O,Pre-primary education,73.4
2017,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,45.5
2018,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,53.6
2019,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,51.8
2020,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,41.8
2021,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,55.6
2024,Proportion of schools with access to basic drinking water - Primary,SE_ACS_H2O,Primary education,69.0
2017,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),51.2
2018,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),69.1
2019,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),69.8
2020,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),44.7
2021,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),63.0
2024,Proportion of schools with access to basic drinking water - Secondary,SE_ACS_H2O,Secondary education (lower and upper secondary education),87.5
