Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,11,,,,PT,11,10.1
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,11,,,,PT,11,19.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,11,,,,PT,11,11.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,11,,,,PT,11,6.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,12,,,,PT,12,26.0
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,12,,,,PT,12,23.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,12,,,,PT,12,15.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,12,,,,PT,12,11.1
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,13,,,,PT,13,8.3
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,13,,,,PT,13,16.3
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,13,,,,PT,13,11.4
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,13,,,,PT,13,6.9
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,21,,,,PT,21,49.8
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,21,,,,PT,21,38.0
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,21,,,,PT,21,46.5
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,21,,,,PT,21,43.3
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,22,,,,PT,22,59.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,22,,,,PT,22,53.3
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,22,,,,PT,22,55.6
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,22,,,,PT,22,45.6
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,23,,,,PT,23,61.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,23,,,,PT,23,47.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,23,,,,PT,23,52.4
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,23,,,,PT,23,39.7
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,24,,,,PT,24,46.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,24,,,,PT,24,32.5
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,24,,,,PT,24,40.2
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,24,,,,PT,24,24.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,25,,,,PT,25,73.3
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,25,,,,PT,25,41.5
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,25,,,,PT,25,48.6
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,25,,,,PT,25,51.4
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,26,,,,PT,26,60.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,26,,,,PT,26,37.8
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,26,,,,PT,26,38.0
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,26,,,,PT,26,15.0
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,27,,,,PT,27,53.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,27,,,,PT,27,30.5
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,27,,,,PT,27,32.6
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,27,,,,PT,27,15.0
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,28,,,,PT,28,46.7
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,28,,,,PT,28,25.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,28,,,,PT,28,22.3
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,28,,,,PT,28,39.7
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,31,,,,PT,31,61.7
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,31,,,,PT,31,45.3
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,31,,,,PT,31,52.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,31,,,,PT,31,38.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,32,,,,PT,32,53.0
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,32,,,,PT,32,51.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,32,,,,PT,32,49.5
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,32,,,,PT,32,40.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,33,,,,PT,33,35.8
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,33,,,,PT,33,35.5
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,33,,,,PT,33,35.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,33,,,,PT,33,38.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,34,,,,PT,34,28.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,34,,,,PT,34,39.6
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,34,,,,PT,34,46.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,34,,,,PT,34,20.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,35,,,,PT,35,51.9
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,35,,,,PT,35,49.6
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,35,,,,PT,35,47.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,35,,,,PT,35,30.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,36,,,,PT,36,45.0
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,36,,,,PT,36,35.1
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,36,,,,PT,36,33.5
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,36,,,,PT,36,44.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,37,,,,PT,37,63.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,37,,,,PT,37,62.0
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,37,,,,PT,37,69.3
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,37,,,,PT,37,42.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,41,,,,PT,41,42.9
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,41,,,,PT,41,48.1
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,41,,,,PT,41,54.2
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,41,,,,PT,41,21.6
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,42,,,,PT,42,56.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,42,,,,PT,42,42.0
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,42,,,,PT,42,34.2
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,42,,,,PT,42,24.5
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,43,,,,PT,43,20.1
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,43,,,,PT,43,34.9
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,43,,,,PT,43,40.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,43,,,,PT,43,21.0
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,44,,,,PT,44,45.2
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,44,,,,PT,44,50.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,44,,,,PT,44,49.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,44,,,,PT,44,22.0
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,45,,,,PT,45,49.3
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,45,,,,PT,45,55.3
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,45,,,,PT,45,34.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,45,,,,PT,45,13.3
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,51,,,,PT,51,30.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,51,,,,PT,51,25.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,51,,,,PT,51,18.9
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,51,,,,PT,51,23.8
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,52,,,,PT,52,37.8
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,52,,,,PT,52,44.1
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,52,,,,PT,52,44.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,52,,,,PT,52,36.4
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,53,,,,PT,53,43.1
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,53,,,,PT,53,43.8
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,53,,,,PT,53,42.1
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,53,,,,PT,53,18.4
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,54,,,,PT,54,42.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,54,,,,PT,54,26.4
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,54,,,,PT,54,26.7
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,54,,,,PT,54,36.6
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,55,,,,PT,55,47.9
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,55,,,,PT,55,41.8
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,55,,,,PT,55,44.6
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,55,,,,PT,55,14.2
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,56,,,,PT,56,47.6
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,56,,,,PT,56,46.8
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,56,,,,PT,56,37.8
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,56,,,,PT,56,30.9
2011,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,57,,,,PT,57,48.4
2014,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,57,,,,PT,57,34.3
2017,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,57,,,,PT,57,40.3
2024,A,0,_X,Proportion of population living below the national poverty line,A,N,SI_POV_NAHC,57,,,,PT,57,23.7
