Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,64.0
2019,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,40.0
2020,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,103.0
2021,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,39.0
2022,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,59.0
2023,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,57.0
2024,Normal value,Units,Not Available,Number of Bridges damaged,Annual,National,Number of Bridges damaged by disaster,,Number,,42.0
2018,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,12.0
2019,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,21.0
2020,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,17.0
2021,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,23.0
2022,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,21.0
2023,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,25.0
2024,Normal value,Units,Not Available,Number of Administrative Offices damaged,Annual,National,Number of Administrative Offices damaged by disaster,,Number,,11.0
2018,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,26.0
2019,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,72.0
2020,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,98.0
2021,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,73.0
2022,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,80.0
2023,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,32.0
2024,Normal value,Units,Not Available,Number of Transmission lines damaged,Annual,National,Number of Transmission lines damaged by disaster,,Number,,34.0
2018,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,1.0
2019,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,6.0
2020,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,26.0
2021,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,13.0
2022,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,1.0
2023,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,8.0
2024,Normal value,Units,Not Available,Number of Water supply damaged,Annual,National,Number of Water supply damaged by disaster,,Number,,3.0
2019,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,4.0
2020,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,6.0
2021,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,4.0
2022,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,2.0
2023,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,5.0
2024,Normal value,Units,Not Available,Number of Markets damaged,Annual,National,Number of Markets damaged by disaster,,Number,,0.0
2019,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,2.0
2020,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,1.0
2021,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,4.0
2022,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,4.0
2023,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,7.0
2024,Normal value,Units,Not Available,Number of Factories damaged,Annual,National,Number of Houses damaged by disaster,,Number,,3.0
2020,Normal value,Units,Not Available,Number of Ha for forests damaged,Annual,National,Number of Ha for forests damaged by disaster,,Number,,458.0
2021,Normal value,Units,Not Available,Number of Ha for forests damaged,Annual,National,Number of Ha for forests damaged by disaster,,Number,,167.0
2022,Normal value,Units,Not Available,Number of Ha for forests damaged,Annual,National,Number of Ha for forests damaged by disaster,,Number,,73.0
2023,Normal value,Units,Not Available,Number of Ha for forests damaged,Annual,National,Number of Ha for forests damaged by disaster,,Number,,41.0
2024,Normal value,Units,Not Available,Number of Ha for forests damaged,Annual,National,Number of Ha for forests damaged by disaster,,Number,,306.0
2018,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,27.0
2019,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,50.0
2020,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,22.0
2022,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,20.0
2023,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,30.0
2024,Normal value,Units,Not Available,Number of churches damaged,Annual,National,Number of churches damaged by disaster,,Number,,12.0
2018,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,32.0
2019,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,30.0
2020,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,154.0
2022,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,72.0
2023,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,32.0
2024,Normal value,Units,Not Available,Number of road sections damaged,Annual,National,Number of road sections damaged by disaster,,Number,,69.0
2018,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,815.0
2019,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,113.0
2020,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,3497.0
2022,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,201.0
2023,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,1208.0
2024,Normal value,Units,Not Available,Number of Cattles and livestock lost,Annual,National,Number of Cattles and livestock lost by disaster,,Number,,3146.0
