Year,SERIES,Reference area,Age,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",,,,Secondary education (lower and upper secondary education),Index,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",,,Urban,Secondary education (lower and upper secondary education),Index,,0.9
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",,,Urban,Secondary education (lower and upper secondary education),Index,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",,,Rural,Secondary education (lower and upper secondary education),Index,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate",,,Rural,Secondary education (lower and upper secondary education),Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,,,Index,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,,,Index,,0.9
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,Urban,,Index,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,Urban,,Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,Rural,,Index,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 years old and over,Rural,,Index,,0.9
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,,,Index,,1.1
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,,,Index,,1.1
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,Urban,,Index,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,Urban,,Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,Rural,,Index,,1.1
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,15 to 24 years old,Rural,,Index,,1.1
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,,,Index,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,,,Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,Urban,,Index,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,Urban,,Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,Rural,,Index,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,6 years old and over,Rural,,Index,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,,,,Index,,2.2
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,,Urban,,Index,,0.1
2017,Gender parity index for participation rate in formal and non-formal education and training [4.5.1],,,Rural,,Index,,2.7
