Year,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2022,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Urban,Percent,,96.7
2017,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Rural,Percent,,69.2
2018,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Rural,Percent,,72.7
2020,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Rural,Percent,,85.6
2022,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,,Rural,Percent,,97.5
2017,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Male,,Percent,,69.4
2018,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Male,,Percent,,73.4
2020,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Male,,Percent,,83.0
2022,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Male,,Percent,,97.1
2017,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Female,,Percent,,70.5
2018,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Female,,Percent,,74.5
2020,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Female,,Percent,,83.3
2022,Proportion of population covered by Health insurance,"NISR, DHS 2019/20 and Census 2022",Proportion of population covered by Health insurance [1.3.1],,Female,,Percent,,97.5
2018,Number of actively contributing women covered by Maternity Leave Benefits,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of actively contributing women covered by Maternity Leave Benefits [1.3.1],,,,Number,,164601.0
2020,Number of actively contributing women covered by Maternity Leave Benefits,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of actively contributing women covered by Maternity Leave Benefits [1.3.1],,,,Number,,227152.0
2022,Number of actively contributing women covered by Maternity Leave Benefits,"BLJSR/Social protection (Minaloc: 2021/22), RSSB, 2022/23",Number of actively contributing women covered by Maternity Leave Benefits [1.3.1],,,,Number,,233982.0
