Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,U,AGG_2_3,IX,,1.1
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,R,AGG_2_3,IX,,1.2
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Net attendance rate","EICV, NISR",_L_RW_040501_5,,,R,AGG_2_3,IX,,1.4
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,,AGG_2_3,IX,,1.1
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,,AGG_2_3,IX,,1.2
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,U,AGG_2_3,IX,,0.8
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,U,AGG_2_3,IX,,1.1
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,R,AGG_2_3,IX,,1.2
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Gross attendance rate","EICV, NISR",_L_RW_040501_6,,,R,AGG_2_3,IX,,1.3
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,,AGG_2_3,IX,,1.3
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,,AGG_2_3,IX,,1.4
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,U,AGG_2_3,IX,,1.7
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,U,AGG_2_3,IX,,1.2
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,R,AGG_2_3,IX,,1.2
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Repetition rate","EICV, NISR",_L_RW_040501_7,,,R,AGG_2_3,IX,,1.4
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,,AGG_2_3,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,,AGG_2_3,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,U,AGG_2_3,IX,,0.9
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,U,AGG_2_3,IX,,1.0
2017,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,R,AGG_2_3,IX,,1.0
2024,"Gender parity index for participation rate in formal and non-formal education and training  - Secondary, Promotion rate","EICV, NISR",_L_RW_040501_8,,,R,AGG_2_3,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,,,IX,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,,,IX,,0.9
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,U,,IX,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,U,,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,R,,IX,,0.9
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population aged 15 and above,"EICV, NISR",SE_GPI_PART,,Y_GE15,R,,IX,,0.9
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,,,IX,,1.1
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,,,IX,,1.1
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,U,,IX,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,U,,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,R,,IX,,1.1
2024,Gender parity index for participation rate in formal and non-formal education and training  - Literacy rate among the population between 15 and 24,"EICV, NISR",SE_GPI_PART,,Y15T24,R,,IX,,1.1
2017,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,,,IX,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,,,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,U,,IX,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,U,,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,R,,IX,,1.0
2024,Gender parity index for participation rate in formal and non-formal education and training  - Percentage of individuals (6 + years) that have ever attended school,"EICV, NISR",SE_GPI_PART,,Y_GE6,R,,IX,,1.0
2017,Gender parity index for participation rate in formal and non-formal education and training  - Participation rate in organized learning (one year before the official primary entry age) by sex,"EICV, NISR",SE_GPI_PART,,,,,IX,,2.2
2017,Gender parity index for participation rate in formal and non-formal education and training  - Participation rate in organized learning (one year before the official primary entry age) by sex,"EICV, NISR",SE_GPI_PART,,,U,,IX,,0.1
2017,Gender parity index for participation rate in formal and non-formal education and training  - Participation rate in organized learning (one year before the official primary entry age) by sex,"EICV, NISR",SE_GPI_PART,,,R,,IX,,2.7
