Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,42,34.2
2024,Proportion of population living below the national poverty line [1.2.1],Gakenke,,,,Percent,42,24.5
2011,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,43,20.1
2014,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,43,34.9
2017,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,43,40.7
2024,Proportion of population living below the national poverty line [1.2.1],Musanze,,,,Percent,43,21.0
2011,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,44,45.2
2014,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,44,50.4
2017,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,44,49.8
2024,Proportion of population living below the national poverty line [1.2.1],Burera,,,,Percent,44,22.0
2011,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,45,49.3
2014,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,45,55.3
2017,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,45,34.7
2024,Proportion of population living below the national poverty line [1.2.1],Gicumbi,,,,Percent,45,13.3
2011,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,51,30.4
2014,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,51,25.4
2017,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,51,18.9
2024,Proportion of population living below the national poverty line [1.2.1],Rwamagana,,,,Percent,51,23.8
2011,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,52,37.8
2014,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,52,44.1
2017,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,52,44.8
2024,Proportion of population living below the national poverty line [1.2.1],Nyagatare,,,,Percent,52,36.4
2011,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,53,43.1
2014,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,53,43.8
2017,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,53,42.1
2024,Proportion of population living below the national poverty line [1.2.1],Gatsibo,,,,Percent,53,18.4
2011,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,54,42.6
2014,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,54,26.4
2017,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,54,26.7
2024,Proportion of population living below the national poverty line [1.2.1],Kayonza,,,,Percent,54,36.6
2011,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,55,47.9
2014,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,55,41.8
2017,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,55,44.6
2024,Proportion of population living below the national poverty line [1.2.1],Kirehe,,,,Percent,55,14.2
2011,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,56,47.6
2014,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,56,46.8
2017,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,56,37.8
2024,Proportion of population living below the national poverty line [1.2.1],Ngoma,,,,Percent,56,30.9
2011,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,57,48.4
2014,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,57,34.3
2017,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,57,40.3
2024,Proportion of population living below the national poverty line [1.2.1],Bugesera,,,,Percent,57,23.7
